,provincia_nombre,anio,codigo_delito_snic_nombre,cantidad_hechos,cantidad_victimas,cantidad_victimas_masc,cantidad_victimas_fem,cantidad_victimas_sd
21696,Santiago del Estero,2000,Homicidios dolosos,35,36,26,7,3
21727,Santiago del Estero,2001,Homicidios dolosos,36,36,31,5,0
21758,Santiago del Estero,2002,Homicidios dolosos,46,49,43,5,1
21789,Santiago del Estero,2003,Homicidios dolosos,39,39,32,6,1
21820,Santiago del Estero,2004,Homicidios dolosos,40,47,34,13,0
21851,Santiago del Estero,2005,Homicidios dolosos,36,37,31,6,0
21882,Santiago del Estero,2006,Homicidios dolosos,38,38,31,7,0
21913,Santiago del Estero,2007,Homicidios dolosos,26,27,19,8,0
21944,Santiago del Estero,2008,Homicidios dolosos,29,30,19,11,0
21975,Santiago del Estero,2009,Homicidios dolosos,31,31,27,4,0
22006,Santiago del Estero,2010,Homicidios dolosos,35,37,23,14,0
22037,Santiago del Estero,2011,Homicidios dolosos,32,33,21,12,0
22068,Santiago del Estero,2012,Homicidios dolosos,27,27,19,7,1
22099,Santiago del Estero,2013,Homicidios dolosos,16,36,16,6,14
22130,Santiago del Estero,2014,Homicidios dolosos,20,23,14,7,2
22161,Santiago del Estero,2015,Homicidios dolosos,33,35,29,6,0
22192,Santiago del Estero,2016,Homicidios dolosos,32,35,26,9,0
22232,Santiago del Estero,2017,Homicidios dolosos,31,37,22,15,0
22292,Santiago del Estero,2018,Homicidios dolosos,37,37,29,8,0
22352,Santiago del Estero,2019,Homicidios dolosos,47,48,40,8,0
22412,Santiago del Estero,2020,Homicidios dolosos,37,37,31,6,0
22472,Santiago del Estero,2021,Homicidios dolosos,30,32,19,13,0
22532,Santiago del Estero,2022,Homicidios dolosos,33,35,27,8,0
22592,Santiago del Estero,2023,Homicidios dolosos,34,34,25,9,0
22664,Santiago del Estero,2024,Homicidios dolosos,33,35,27,8,0
